date;value1;valueA;value
1949-01;1;1;69.4706
1949-02;2;2,2;
1949-03;3;0,2;66.0987
1949-04;4;2;
1949-05;5;4,4;65.7570
1949-06;6;0,4;
1949-07;7;3;64.7347
1949-08;8;6,6;
1949-09;9;0,6;64.6917
1949-10;10;4;
1949-11;11;8,8;65.0583
1949-12;12;0,8;
1949-13;13;5;63.0756
1949-14;14;11;
1949-15;15;1;63.3791
1949-16;16;6;
1949-17;17;13,2;66.4897
1949-18;18;1,2;
1949-19;19;7;64.4156
1949-20;20;15,4;
1949-21;21;1,4;63.8734
1949-22;22;8;
1949-23;23;17,6;64.0817
1949-24;24;1,6;
1949-25;25;9;61.9057
1949-26;26;19,8;
1949-27;27;1,8;63.0359
1949-28;28;10;
1949-29;29;22;66.9909
1949-30;30;2;
1949-31;31;11;77.7325
1949-32;32;24,2;
1949-33;33;2,2;73.6894
1949-34;34;12;
1949-35;35;26,4;70.7520
1949-36;36;2,4;
1949-37;37;13;69.9513
1949-38;38;28,6;
1949-39;39;2,6;73.3633
1949-40;40;14;
1949-41;41;30,8;74.6382
1949-42;42;2,8;
1949-43;43;15;79.6845
1949-44;44;33;
1949-45;45;3;79.3323
1949-46;46;16;
1949-47;47;35,2;75.8599
1949-48;48;3,2;
1949-49;49;17;
1949-50;50;37,4;
1949-51;51;3,4;
1949-52;52;18;
1949-53;53;39,6;
1949-54;54;3,6;
1949-55;55;19;
1949-56;56;41,8;
1949-57;57;3,8;
1949-58;58;20;
1949-59;59;44;
1949-60;60;4;
1949-61;61;21;
1949-62;62;46,2;
1949-63;63;4,2;
1949-64;64;22;
1949-65;65;48,4;
1949-66;66;4,4;
1949-67;67;23;
1949-68;68;50,6;
1949-69;69;4,6;
1949-70;70;24;
1949-71;71;52,8;
1949-72;72;4,8;
1949-73;73;25;
1949-74;74;55;
1949-75;75;5;
1949-76;76;26;
1949-77;77;57,2;
1949-78;78;5,2;
1949-79;79;27;
1949-80;80;59,4;
1949-81;81;5,4;
1949-82;82;28;
1949-83;83;61,6;
1949-84;84;5,6;
1949-85;85;29;
1949-86;86;63,8;
1949-87;87;5,8;
1949-88;88;30;
1949-89;89;66;
1949-90;90;6;
1949-91;91;31;
1949-92;92;68,2;
1949-93;93;6,2;
1949-94;94;32;
1949-95;95;70,4;
1949-96;96;6,4;
1949-97;97;33;
1949-98;98;72,6;
1949-99;99;6,6;
1949-100;100;34;
1949-101;101;74,8;
1949-102;102;6,8;
1949-103;103;35;
1949-104;104;77;
1949-105;105;7;
1949-106;106;36;
1949-107;107;79,2;
1949-108;108;7,2;
1949-109;109;37;
1949-110;110;81,4;
1949-111;111;7,4;
1949-112;112;38;
1949-113;113;83,6;
1949-114;114;7,6;
1949-115;115;39;
1949-116;116;85,8;
1949-117;117;7,8;
1949-118;118;40;
1949-119;119;88;
1949-120;120;8;
1949-121;121;41;
1949-122;122;90,2;
1949-123;123;8,2;
1949-124;124;42;
1949-125;125;92,4;
1949-126;126;8,4;
1949-127;127;43;
1949-128;128;94,6;
1949-129;129;8,6;
1949-130;130;44;
1949-131;131;96,8;
1949-132;132;8,8;
1949-133;133;45;
1949-134;134;99;
1949-135;135;9;
1949-136;136;46;
1949-137;137;101,2;
1949-138;138;9,2;
1949-139;139;47;
1949-140;140;103,4;
1949-141;141;9,4;
1949-142;142;48;
1949-143;143;105,6;
1949-144;144;9,6;
1949-145;145;49;
1949-146;146;107,8;
1949-147;147;9,8;
1949-148;148;50;
1949-149;149;110;
1949-150;150;10;
1949-151;151;51;
1949-152;152;112,2;
1949-153;153;10,2;
1949-154;154;52;
1949-155;155;114,4;
1949-156;156;10,4;
1949-157;157;53;
1949-158;158;116,6;
1949-159;159;10,6;
1949-160;160;54;
1949-161;161;118,8;
1949-162;162;10,8;
1949-163;163;55;
1949-164;164;121;
1949-165;165;11;
1949-166;166;56;
1949-167;167;123,2;
1949-168;168;11,2;
1949-169;169;57;
1949-170;170;125,4;
1949-171;171;11,4;
1949-172;172;58;
1949-173;173;127,6;
1949-174;174;11,6;
1949-175;175;59;
1949-176;176;129,8;
1949-177;177;11,8;
1949-178;178;60;
1949-179;179;132;
1949-180;180;12;
1949-181;181;61;
1949-182;182;134,2;
1949-183;183;12,2;
1949-184;184;62;
1949-185;185;136,4;
1949-186;186;12,4;
1949-187;187;63;
1949-188;188;138,6;
1949-189;189;12,6;
1949-190;190;64;
1949-191;191;140,8;
1949-192;192;12,8;
1949-193;193;65;
1949-194;194;143;
1949-195;195;13;
1949-196;196;66;
1949-197;197;145,2;
1949-198;198;13,2;
1949-199;199;2;
