;value;
25.08.2020;74.4184;
26.08.2020;74.5126;
27.08.2020;75.5379;
28.08.2020;75.2354;
29.08.2020;74.6382;
30.08.2020;74.6382;
31.08.2020;74.6382;
01.09.2020;73.8039;
02.09.2020;73.5849;
03.09.2020;73.8588;
04.09.2020;75.4680;
05.09.2020;75.1823;
06.09.2020;75.1823;
07.09.2020;75.1823;
08.09.2020;75.5910;
09.09.2020;75.9645;
10.09.2020;76.0713;
11.09.2020;75.5274;
12.09.2020;74.8896;
13.09.2020;74.8896;
14.09.2020;74.8896;
15.09.2020;74.7148;
16.09.2020;75.1884;
17.09.2020;74.9278;
18.09.2020;75.1941;
19.09.2020;75.0319;
20.09.2020;75.0319;
21.09.2020;75.0319;
22.09.2020;76.0381;
23.09.2020;76.2711;
24.09.2020;76.3545;
25.09.2020;77.1780;
26.09.2020;76.8195;
27.09.2020;76.8195;
28.09.2020;76.8195;
29.09.2020;78.6713;
30.09.2020;79.6845;
01.10.2020;78.7847;
02.10.2020;77.2774;
03.10.2020;78.0915;
04.10.2020;78.0915;
05.10.2020;78.0915;
06.10.2020;78.1281;
07.10.2020;78.5119;
08.10.2020;78.0921;
09.10.2020;77.9157;
10.10.2020;77.0284;
11.10.2020;77.0284;
12.10.2020;77.0284;
13.10.2020;77.0239;
14.10.2020;77.2855;
15.10.2020;77.2759;
16.10.2020;77.9461;
17.10.2020;77.9644;
18.10.2020;77.9644;
19.10.2020;77.9644;
20.10.2020;77.9241;
21.10.2020;77.7780;
22.10.2020;77.0322;
23.10.2020;77.0809;
24.10.2020;76.4667;
25.10.2020;76.4667;
26.10.2020;76.4667;
27.10.2020;76.4443;
28.10.2020;76.4556;
29.10.2020;77.5520;
30.10.2020;78.8699;
31.10.2020;79.3323;
01.11.2020;79.3323;
02.11.2020;79.3323;
03.11.2020;80.5749;
04.11.2020;80.0006;
05.11.2020;80.0006;
06.11.2020;78.4559;
07.11.2020;77.1875;
08.11.2020;77.1875;
09.11.2020;77.1875;
10.11.2020;76.9515;
11.11.2020;76.3978;
12.11.2020;76.2075;
13.11.2020;77.1148;
14.11.2020;77.3262;
15.11.2020;77.3262;
16.11.2020;77.3262;
17.11.2020;76.9197;
18.11.2020;76.2530;
19.11.2020;75.9268;
20.11.2020;76.2627;
21.11.2020;76.0120;
22.11.2020;76.0120;
23.11.2020;76.0120;
24.11.2020;75.7600;
25.11.2020;75.8146;
26.11.2020;75.4727;
27.11.2020;75.4518;
28.11.2020;75.8599;
29.11.2020;75.8599;
30.11.2020;75.8599;
01.12.2020;76.1999;
02.12.2020;76.3203;
03.12.2020;75.6151;
04.12.2020;75.1996;
05.12.2020;74.2529;
06.12.2020;74.2529;
07.12.2020;74.2529;
08.12.2020;74.2506;
09.12.2020;73.6618;
10.12.2020;0;
11.12.2020;0;
12.12.2020;0;
13.12.2020;0;
14.12.2020;0;
15.12.2020;0;
16.12.2020;0;
17.12.2020;0;
18.12.2020;0;
19.12.2020;0;
20.12.2020;0;
21.12.2020;0;
22.12.2020;0;
23.12.2020;0;
24.12.2020;0;
25.12.2020;0;83
